Street_ID,Street_Name,Error_Type
1,"SN 19C, Đặng Văn Ngữ",không lỗi
1,"SN 364, Đặng ăVn Ngữ",lỗi đổi thứ tự các từ
1,"SN 41B, Ñaëng Vaên Ngöõ",lỗi font
1,"SN 526C, Đặng Văn Ngữ",lỗi thiếu từ + đổi thứ tự các từ
1,"SN 601, Đặng Văn",lỗi sai chính tả + thiếu từ
1,"SN 683/50, Đặng Văn Ngữ",không lỗi
1,"SN 695/69, Không xác định Đặng Văn Ngữ",lỗi thêm từ gây nhiễu
1,"SN 78, Đặng Vnă Ngữ",lỗi sai chính tả + đổi thứ tự các từ
1,"SN 809A, Đặng Văn Ngự",lỗi sai chính tả
1,"SN 904B, Văn Ngữ",lỗi thiếu từ
1,"SN 943/79, Nhà trống Đặng Văn Ngử",lỗi sai chính tả + thêm từ gây nhiễu
2,"SN 198B, Ngyuễn Văn Cừ",lỗi đổi thứ tự các từ
2,"SN 243B, Nguyễn Văn Cừ",không lỗi
2,"SN 252B, Nguyễn Văn Cừ",không lỗi
2,"SN 377C, Nguyễn Văn",lỗi thiếu từ
2,"SN 458/60B, Nguyên Văn",lỗi sai chính tả + thiếu từ
2,"SN 492C, Không biết Nguyển Văn Cứ",lỗi sai chính tả + thêm từ gây nhiễu
2,"SN 533/3C, Phố Nguyễn Văn Cừ",lỗi thêm từ gây nhiễu
2,"SN 69/19A, Nguyễn Vnă Cừ",lỗi sai chính tả + đổi thứ tự các từ
2,"SN 700/62, Nguyên Văn Cự",lỗi sai chính tả
2,"SN 724A, Nguyeãn Vaên Cöø",lỗi font
2,"SN 732/23, Nguyễn Văn Cừ",lỗi thiếu từ + đổi thứ tự các từ
3,"SN 12, Trẩn Hừng",lỗi sai chính tả + thiếu từ
3,"SN 132/77, Trần Hưng Đạo",không lỗi
3,"SN 272B, Trần Hưng ạĐo",lỗi đổi thứ tự các từ
3,"SN 451B, Traàn Höng Ñaïo",lỗi font
3,"SN 582C, Phường Trần Hưng Đạo",lỗi thêm từ gây nhiễu
3,"SN 683, Trnầ Hưng Đạo",lỗi sai chính tả + đổi thứ tự các từ
3,"SN 711, Trần Hưng Đạo",lỗi thiếu từ + đổi thứ tự các từ
3,"SN 828/86, Trần Đạo",lỗi thiếu từ
3,"SN 880/36C, Trấn Hứng Đáo",lỗi sai chính tả
3,"SN 952/18, Phố Trấn Hững Đào",lỗi sai chính tả + thêm từ gây nhiễu
3,"SN 975/98B, Trần Hưng Đạo",không lỗi
4,"SN 112, Phmạ Văn Đồng",lỗi đổi thứ tự các từ
4,"SN 222/8A, Phạm Văn Đồng",lỗi thiếu từ + đổi thứ tự các từ
4,"SN 277/7, hPạm Văn Đồng",lỗi sai chính tả + đổi thứ tự các từ
